date,chats,messages,unique_users
2025-03-08,3,21,0
2025-03-09,4,28,1
2025-03-10,2,14,1
2025-03-11,4,16,1
2025-03-12,4,20,1
2025-03-13,1,5,1
2025-03-14,2,4,1
2025-03-15,2,8,1
2025-03-16,2,12,0
2025-03-17,4,16,2
2025-03-18,3,18,1
2025-03-19,2,4,1
2025-03-20,4,12,1
2025-03-21,1,5,1
2025-03-22,3,6,1
2025-03-23,1,5,1
2025-03-24,3,21,2
2025-03-25,4,12,2
2025-03-26,0,0,1
2025-03-27,3,6,2
2025-03-28,1,3,0
2025-03-29,4,24,1
2025-03-30,3,9,0
2025-03-31,0,0,0
2025-04-01,0,0,1
2025-04-02,2,10,2
2025-04-03,2,10,0
2025-04-04,1,6,1
2025-04-05,3,12,0
2025-04-06,3,21,0
